name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
Alfa Romeo Racing,Frederic Vasseur,,,0.65,0.50,0.50,0.50
Alpine,Steve Nielsen,,,0.50,0.50,0.52,0.56
Aston Martin,Andy Cowell,,,0.50,0.50,0.52,0.56
Audi,Jonathan Wheatley,,,0.50,0.50,0.52,0.56
BAR,Craig Pollock,,,0.68,0.50,0.50,0.50
BMW Sauber,BMW Sauber,,,0.50,0.50,0.52,0.56
Caterham F1 Team,Tony Fernandes,,,0.35,0.50,0.50,0.50
Force India,Vijay Mallya,,,0.77,0.50,0.50,0.50
HRT,Luis Perez-Sala,,,0.28,0.50,0.50,0.50
Haas,Ayao Komatsu,,,0.63,0.50,0.50,0.50
Honda Racing,Nobuhiko Kawamoto,,,0.50,0.50,0.50,0.60
Jordan Grand Prix,Eddie Jordan,,,0.51,0.50,0.50,0.50
Lotus F1 Team,Eric Boullier,,,0.81,0.56,0.56,0.48
Manor Racing,Dave Ryan,,,0.33,0.50,0.50,0.50
Marussia F1 Team,John Booth,,,0.31,0.50,0.50,0.50
McLaren Racing,Zac Brown,,,0.85,0.56,0.56,0.48
Mercedes-AMG,Toto Wolff,,,0.89,0.50,0.50,0.60
Midland F1,Midland F1,,,0.50,0.50,0.50,0.50
Minardi,Giancarlo Minardi,,,0.50,0.50,0.50,0.50
Racing Bulls,Alan Permane,,,0.50,0.50,0.60,0.48
Racing Point,Otmar Szafnauer,,,0.80,0.50,0.50,0.50
Red Bull Racing,Laurent Mekies,,,0.88,0.50,0.60,0.48
Renault,Flavio Briatore,,,0.75,0.50,0.50,0.50
Renault F1 Team,Steve Nielsen,,,0.50,0.50,0.50,0.50
Sauber,Peter Sauber,,,0.65,0.50,0.50,0.50
Scuderia AlphaTauri,Franz Tost,,,0.74,0.50,0.48,0.60
Scuderia Ferrari,Frédéric Vasseur,,,0.87,0.50,0.48,0.60
Scuderia Toro Rosso,Franz Tost,,,0.68,0.50,0.48,0.60
Super Aguri,Super Aguri,,,0.50,0.50,0.50,0.50
Toyota,Toyota,,,0.50,0.50,0.50,0.60
Williams,Frank Williams,,,0.86,0.56,0.56,0.48
Williams Racing,James Vowles,,,0.75,0.56,0.56,0.48
